image,noise_setting,filter,MSE,PSNR_dB,SSIM
smooth,gaussian_0_0.01,arithmetic_mean_k3,110.41819251336898,27.700397271735063,0.6556220916807614
smooth,gaussian_0_0.01,geometric_mean_k3,354.74922994652405,22.63158899459578,0.38717078380800973
smooth,gaussian_0_0.01,harmonic_mean_k3,464.82736898395723,21.457886695218406,0.33802419670873773
smooth,gaussian_0_0.01,contraharmonic_k3_Q1,454.301807486631,21.55735896164426,0.49606119082116107
smooth,gaussian_0_0.01,contraharmonic_k3_Q-1,464.82736898395723,21.457886695218406,0.33802419670873773
smooth,gaussian_0_0.01,median_k3,139.30192513368985,26.691232425117057,0.5677917430574116
smooth,gaussian_0_0.01,min_k3,1196.3820855614974,17.35210459517688,0.22458433573443756
smooth,gaussian_0_0.01,max_k3,1920.1779465240643,15.297388834078674,0.3239742039501583
smooth,gaussian_0_0.01,midpoint_k3,230.51573796791445,24.50379779605164,0.5370921640329506
smooth,gaussian_0_0.01,alpha_trimmed_k3_d2,106.43733689839573,27.859863610614667,0.648717608357209
smooth,gaussian_0_0.01,alpha_trimmed_k3_d6,121.10274866310161,27.29926360452599,0.6042493527257976
smooth,gaussian_0_0.01,adaptive_local_noise_reduction_k3,172.08583957219253,25.773352258609506,0.5586672392222976
smooth,gaussian_0_0.01,arithmetic_mean_k5,131.35300534759358,26.94640347004714,0.7185729624094224
smooth,gaussian_0_0.01,geometric_mean_k5,541.2722245989305,20.796646190399393,0.332947449262801
smooth,gaussian_0_0.01,harmonic_mean_k5,875.6366844919786,18.707564129757817,0.25551904616062987
smooth,gaussian_0_0.01,contraharmonic_k5_Q1,566.1448288770054,20.601528160114185,0.5488414520537335
smooth,gaussian_0_0.01,contraharmonic_k5_Q-1,875.6366844919786,18.707564129757817,0.25551904616062987
smooth,gaussian_0_0.01,median_k5,117.02192513368983,27.44813122433655,0.6747523576536562
smooth,gaussian_0_0.01,min_k5,2029.2319518716577,15.057486688565383,0.1479110835214103
smooth,gaussian_0_0.01,max_k5,3466.155181818182,12.732323584338502,0.2961786403472117
smooth,gaussian_0_0.01,midpoint_k5,426.70624064171125,21.82951366341292,0.5032045300170933
smooth,gaussian_0_0.01,alpha_trimmed_k5_d2,123.41130481283423,27.217254167869047,0.7243738205479748
smooth,gaussian_0_0.01,alpha_trimmed_k5_d6,114.6427486631016,27.537337707526355,0.7278860711770786
smooth,gaussian_0_0.01,adaptive_local_noise_reduction_k5,154.8020320855615,26.233037035019564,0.6227809833387576
smooth,gaussian_0_0.01,adaptive_median_Smax7,270.3865614973262,23.810952579643928,0.42278358651245246
smooth,gaussian_0_0.05,arithmetic_mean_k3,412.24673262032087,21.97923138663151,0.3788905299536784
smooth,gaussian_0_0.05,geometric_mean_k3,1127.7039732620322,17.60885250273279,0.18540076654944299
smooth,gaussian_0_0.05,harmonic_mean_k3,1506.7449251336898,16.350406234723756,0.14060873926738143
smooth,gaussian_0_0.05,contraharmonic_k3_Q1,2649.5376310160427,13.899102687493768,0.2308033275118552
smooth,gaussian_0_0.05,contraharmonic_k3_Q-1,1506.7449251336898,16.350406234723756,0.14060873926738143
smooth,gaussian_0_0.05,median_k3,473.177192513369,21.38056557719085,0.3167981035893055
smooth,gaussian_0_0.05,min_k3,3114.478021390374,13.196950904265933,0.08756444114481796
smooth,gaussian_0_0.05,max_k3,7901.2481229946525,9.15384660702243,0.1587246678683144
smooth,gaussian_0_0.05,midpoint_k3,1136.0449411764705,17.576848487544485,0.26414010515249575
smooth,gaussian_0_0.05,alpha_trimmed_k3_d2,359.1188609625668,22.578421459482957,0.38035931834160003
smooth,gaussian_0_0.05,alpha_trimmed_k3_d6,399.94298930481284,22.11082272527291,0.3489683978527244
