image,smooth,smooth,textured,textured
noise_setting,erlang_2_10,erlang_2_5,erlang_2_10,erlang_2_5
filter,,,,
adaptive_local_noise_reduction_k3,2596.118962566845,8663.87331550802,2733.8934212239583,9670.452880859375
adaptive_local_noise_reduction_k5,2502.7643743315507,8461.053032085561,2628.2598177083332,9417.413961588541
adaptive_median_Smax7,2554.742053475936,8760.01392513369,2679.657900390625,9748.453411458333
alpha_trimmed_k3_d2,2254.5364812834223,8267.0101657754,2375.7972102864583,8992.947884114583
alpha_trimmed_k3_d6,2082.9496470588233,7893.742449197861,2173.502119140625,8349.635065104167
alpha_trimmed_k5_d2,2334.3362513368984,8298.428679144385,2494.2721809895834,9115.128951822917
alpha_trimmed_k5_d6,2164.5648823529414,7959.561545454545,2291.6591373697916,8558.188037109376
arithmetic_mean_k3,2507.7845080213906,8600.579160427807,2684.080817057292,9580.289700520834
arithmetic_mean_k5,2482.855732620321,8446.875919786096,2680.332770182292,9398.009293619793
contraharmonic_k3_Q-1,1504.4594010695187,5016.504695187165,1413.1275227864583,4867.872838541667
contraharmonic_k3_Q1,4103.0174491978605,13461.857770053475,4851.718040364583,16196.206888020834
contraharmonic_k5_Q-1,1384.9612887700534,4511.979705882353,1306.8511686197917,4255.860589192708
contraharmonic_k5_Q1,4265.515983957219,13738.415443850268,5063.0818880208335,16568.713509114583
geometric_mean_k3,1931.6847914438504,6605.8190213903745,1932.26255859375,6908.908655598958
geometric_mean_k5,1850.6661229946524,6280.890598930481,1874.4826139322918,6526.21681640625
harmonic_mean_k3,1504.4594010695187,5016.504695187165,1413.1275227864583,4867.872838541667
harmonic_mean_k5,1384.9612887700534,4511.979705882353,1306.8511686197917,4255.860589192708
max_k3,12909.951112299465,32581.238695187167,14407.207379557292,39544.92619791667
max_k5,19211.417764705882,39219.22410695187,22024.082587890625,48968.29744140625
median_k3,2104.3405721925133,7952.773475935829,2194.603828125,8380.157727864584
median_k5,1986.7125294117648,7501.171983957219,2093.1615494791668,7757.349007161459
midpoint_k3,3759.483807486631,10326.129422459893,4204.059124348958,12322.06669921875
midpoint_k5,4878.569711229947,10813.18404278075,5697.037412109375,13470.813151041666
min_k3,285.5776898395722,860.5171497326203,427.037578125,966.4208333333333
min_k5,415.6358770053476,461.335743315508,517.5506119791667,580.8450553385417
