image,smooth,smooth,textured,textured
noise_setting,exponential_1,exponential_3,exponential_1,exponential_3
filter,,,,
adaptive_local_noise_reduction_k3,18869.034919786096,5901.56328342246,22888.136774088543,6591.812724609375
adaptive_local_noise_reduction_k5,18535.457764705883,5641.593064171123,22443.92640950521,6283.407021484375
adaptive_median_Smax7,19722.205951871656,5836.954796791444,23033.3379296875,6556.630110677083
alpha_trimmed_k3_d2,20802.984502673797,5259.845550802139,25092.334713541666,5704.884680989583
alpha_trimmed_k3_d6,24379.030213903745,4641.349267379679,29183.20587890625,4873.63828125
alpha_trimmed_k5_d2,19295.73576470588,5340.102203208557,23295.552630208334,5874.427919921875
alpha_trimmed_k5_d6,20867.31053475936,4821.184994652406,25051.805791015624,5160.91107421875
arithmetic_mean_k3,18829.177620320857,5803.626748663101,22843.730690104167,6488.863040364583
arithmetic_mean_k5,18514.366935828875,5597.890513368984,22423.179241536458,6258.479026692708
contraharmonic_k3_Q-1,9553.258160427808,2311.9388395721926,10005.60263671875,2028.7032682291667
contraharmonic_k3_Q1,27636.010748663102,12098.488272727272,35168.34505533854,15111.974098307292
contraharmonic_k5_Q-1,7729.26913368984,1936.9249144385026,7366.634436848958,1620.9730924479168
contraharmonic_k5_Q1,27961.912465240643,12445.660647058823,35621.38685221354,15601.29173828125
geometric_mean_k3,13951.28588235294,3656.2755561497324,15897.128619791667,3635.8010481770834
geometric_mean_k5,13016.862898395722,3328.349973262032,14560.534091796875,3268.0491341145835
harmonic_mean_k3,9553.258160427808,2311.9388395721926,10005.60263671875,2028.7032682291667
harmonic_mean_k5,7729.26913368984,1936.9249144385026,7366.634436848958,1620.9730924479168
max_k3,40992.93326737968,31861.085604278076,51984.94068359375,38593.75021484375
max_k5,41096.09928342246,39324.81394117647,52145.7113671875,49169.49744140625
median_k3,25691.434032085563,4663.768074866311,30742.904365234375,4869.957679036458
median_k5,26443.89471657754,4007.7246844919787,31155.9408984375,4146.012897135417
midpoint_k3,13170.25328342246,8566.47529946524,16402.7841015625,10361.519742838542
midpoint_k5,10975.604475935828,9648.109534759358,13933.515403645833,12210.223636067709
min_k3,1552.6517486631017,274.92614973262033,1727.893056640625,412.713291015625
min_k5,441.8202406417112,417.1606684491979,560.2371549479167,524.9515201822917
