image,smooth,smooth,textured,textured
noise_setting,gaussian_0_0.01,gaussian_0_0.05,gaussian_0_0.01,gaussian_0_0.05
filter,,,,
adaptive_local_noise_reduction_k3,172.08583957219253,772.5176844919786,200.46642252604167,757.453173828125
adaptive_local_noise_reduction_k5,154.8020320855615,653.0544812834224,187.78526692708334,649.1880826822917
adaptive_median_Smax7,270.3865614973262,1107.0927165775402,280.65252604166665,1033.3665787760417
alpha_trimmed_k3_d2,106.43733689839573,359.1188609625668,183.20804361979165,440.076162109375
alpha_trimmed_k3_d6,121.10274866310161,399.94298930481284,188.52931315104166,433.72289388020835
alpha_trimmed_k5_d2,123.41130481283423,280.4099625668449,241.924775390625,441.81287434895836
alpha_trimmed_k5_d6,114.6427486631016,235.1722139037433,231.82915364583334,367.866025390625
arithmetic_mean_k3,110.41819251336898,412.24673262032087,198.17678059895835,546.1458723958333
arithmetic_mean_k5,131.35300534759358,327.49795187165773,253.19346354166666,513.2750325520833
contraharmonic_k3_Q-1,464.82736898395723,1506.7449251336898,584.9464095052083,1107.661669921875
contraharmonic_k3_Q1,454.301807486631,2649.5376310160427,787.0733919270833,3599.3890983072915
contraharmonic_k5_Q-1,875.6366844919786,2308.4622032085563,902.7157649739584,1546.8107779947916
contraharmonic_k5_Q1,566.1448288770054,2817.43928342246,959.663486328125,3895.1905989583333
geometric_mean_k3,354.74922994652405,1127.7039732620322,470.53907877604166,922.80736328125
geometric_mean_k5,541.2722245989305,1392.1976577540106,652.445224609375,1148.8682291666667
harmonic_mean_k3,464.82736898395723,1506.7449251336898,584.9464095052083,1107.661669921875
harmonic_mean_k5,875.6366844919786,2308.4622032085563,902.7157649739584,1546.8107779947916
max_k3,1920.1779465240643,7901.2481229946525,2314.1941796875,8531.626884765625
max_k5,3466.155181818182,12801.91013368984,4271.468395182292,14018.564339192708
median_k3,139.30192513368985,473.177192513369,207.010439453125,496.088564453125
median_k5,117.02192513368983,264.51216577540106,241.36522135416666,358.91032552083334
midpoint_k3,230.51573796791445,1136.0449411764705,397.97498372395836,1550.0202473958334
midpoint_k5,426.70624064171125,1900.6076737967915,720.1763411458334,2624.1791438802084
min_k3,1196.3820855614974,3114.478021390374,979.2802734375,1627.87556640625
min_k5,2029.2319518716577,4567.000203208556,1465.6892805989582,2196.1717805989583
