image,smooth,smooth,textured,textured
noise_setting,gaussian_0_0.01,gaussian_0_0.05,gaussian_0_0.01,gaussian_0_0.05
filter,,,,
adaptive_local_noise_reduction_k3,25.773352258609506,19.25171930778323,25.11038720733903,19.33724571187486
adaptive_local_noise_reduction_k5,26.233037035019564,19.981309469224385,25.39418845053185,20.007098220994596
adaptive_median_Smax7,23.810952579643928,17.6889636725942,23.64911405382877,17.988259494177584
alpha_trimmed_k3_d2,27.859863610614667,22.578421459482957,25.501358237249242,21.69552516378456
alpha_trimmed_k3_d6,27.29926360452599,22.11082272527291,25.377014755568656,21.758680140628677
alpha_trimmed_k5_d2,27.217254167869047,23.652869214343987,24.294000143561213,21.678419938837713
alpha_trimmed_k5_d6,27.537337707526355,24.416943532475734,24.479123111584894,22.473906808560567
arithmetic_mean_k3,27.700397271735063,21.97923138663151,25.160275918915712,20.757717051313055
arithmetic_mean_k5,26.94640347004714,22.97871772551158,24.09627871151454,21.02730221657954
contraharmonic_k3_Q-1,21.457886695218406,16.350406234723756,20.459642813195362,17.68673233439393
contraharmonic_k3_Q1,21.55735896164426,13.899102687493768,19.170651301316607,12.568515639194173
contraharmonic_k5_Q-1,18.707564129757817,14.497575926900158,18.57529333849164,16.236431713436886
contraharmonic_k5_Q1,20.601528160114185,13.632257952123082,18.309613899652405,12.225516474984454
geometric_mean_k3,22.63158899459578,17.60885250273279,21.40484662983453,18.479693096746225
geometric_mean_k5,20.796646190399393,16.693794621035085,19.985363040889187,17.52810141254949
harmonic_mean_k3,21.457886695218406,16.350406234723756,20.459642813195362,17.68673233439393
harmonic_mean_k5,18.707564129757817,14.497575926900158,18.57529333849164,16.236431713436886
max_k3,15.297388834078674,9.15384660702243,14.486805638888931,8.820485067570283
max_k5,12.732323584338502,7.05805586639571,11.825031635245917,6.66376821666096
median_k3,26.691232425117057,21.38056557719085,24.970881135628495,21.17521144821739
median_k5,27.44813122433655,23.906347094206396,24.30405668686165,22.580944081010813
midpoint_k3,24.50379779605164,17.576848487544485,22.13224587216581,16.2274298961707
midpoint_k5,21.82951366341292,15.341878824504,19.556415108120714,13.940868813293152
min_k3,17.35210459517688,13.196950904265933,18.221733546754457,16.014591561921826
min_k5,15.057486688565383,11.534493299369874,16.470384492422056,14.714140540295286
