image,smooth,smooth,textured,textured
noise_setting,rayleigh_0.1,rayleigh_0.3,rayleigh_0.1,rayleigh_0.3
filter,,,,
adaptive_local_noise_reduction_k3,1001.9979037433155,8265.302026737967,1021.5919401041666,9069.436832682291
adaptive_local_noise_reduction_k5,992.1981764705882,8132.0863155080215,1010.46544921875,8907.384576822917
adaptive_median_Smax7,1058.9073101604279,8620.44344919786,1104.9348372395834,9407.425413411458
alpha_trimmed_k3_d2,963.7913796791444,8066.141347593583,1045.3563541666667,8695.61439453125
alpha_trimmed_k3_d6,942.9804438502674,8015.587983957219,1009.71498046875,8496.189807942708
alpha_trimmed_k5_d2,1011.0775935828877,8035.261941176471,1126.5430501302083,8729.383763020833
alpha_trimmed_k5_d6,977.5944759358289,7921.44877540107,1083.510986328125,8493.32931640625
arithmetic_mean_k3,1003.805614973262,8207.535850267379,1097.302822265625,9002.66515625
arithmetic_mean_k5,1039.5556684491978,8123.898481283422,1162.563095703125,8915.811975911458
contraharmonic_k3_Q-1,736.9271925133689,5625.201139037433,757.878583984375,5649.537154947917
contraharmonic_k3_Q1,1355.2305187165775,11251.386524064172,1621.74984375,13000.297330729167
contraharmonic_k5_Q-1,726.7711176470589,5200.967128342246,772.3723567708333,5137.041110026042
contraharmonic_k5_Q1,1498.8351122994652,11477.515454545455,1796.7126692708334,13272.019026692707
geometric_mean_k3,857.4665294117647,6839.408614973262,900.5709440104166,7210.739280598958
geometric_mean_k5,861.081935828877,6605.348368983957,937.4894856770833,6951.635501302083
harmonic_mean_k3,736.9271925133689,5625.201139037433,757.878583984375,5649.537154947917
harmonic_mean_k5,726.7711176470589,5200.967128342246,772.3723567708333,5137.041110026042
max_k3,4032.882727272727,26045.402122994652,4498.47013671875,30519.877643229167
max_k5,5999.9206096256685,32929.45548663101,6842.026041666667,39596.795862630206
median_k3,966.5099786096257,8108.411122994652,1033.5862825520833,8573.973391927084
median_k5,963.3994812834225,7927.908780748663,1061.8570149739583,8285.48205078125
midpoint_k3,1227.1807112299466,9064.514187165776,1380.9844140625,10473.726705729166
midpoint_k5,1501.7274652406418,9617.467508021391,1765.771767578125,11558.343323567708
min_k3,235.24369518716577,1223.838064171123,382.318623046875,1359.08591796875
min_k5,444.2721550802139,591.277,536.7899674479166,719.3045833333333
