image,smooth,smooth,textured,textured
noise_setting,rayleigh_0.1,rayleigh_0.3,rayleigh_0.1,rayleigh_0.3
filter,,,,
adaptive_local_noise_reduction_k3,18.122135479131934,8.958216328879567,18.038029029849998,8.555000405169586
adaptive_local_noise_reduction_k5,18.164819363429995,9.02878381193364,18.085588925664894,8.633301574590778
adaptive_median_Smax7,17.882224144031255,8.775507536759067,17.697436943053685,8.396095771576707
alpha_trimmed_k3_d2,18.2909732329214,9.064145327398185,17.938159974385663,8.737800880739808
alpha_trimmed_k3_d6,18.38577674722293,9.091449753103817,18.08881561222386,8.83856154726874
alpha_trimmed_k5_d2,18.08295874741026,9.080803219896692,17.613325682019763,8.72096774409279
alpha_trimmed_k5_d6,18.229216220174727,9.142757427100982,17.782470416334014,8.840023973241436
arithmetic_mean_k3,18.11430740208181,8.988675724772797,17.727538646602476,8.58709263505498
arithmetic_mean_k5,17.962326100066154,9.03315873177718,17.47663828233154,8.629194597278515
contraharmonic_k3_Q-1,19.456557786420156,10.629423048378804,19.334807258548633,10.610674916831453
contraharmonic_k3_Q1,16.810671878038235,7.618743164075443,16.030964961084184,6.991270756673577
contraharmonic_k5_Q-1,19.51682701031784,10.969962519545833,19.252536388945792,11.02367319615829
contraharmonic_k5_Q1,16.373265023740338,7.532324746492558,15.586017306857824,6.901433652490044
geometric_mean_k3,18.798631841944736,9.780618097848402,18.58562430077003,9.551005678509037
geometric_mean_k5,18.780358823697775,9.931846334309672,18.411139552287192,9.70993368417404
harmonic_mean_k3,19.456557786420156,10.629423048378804,19.334807258548633,10.610674916831453
harmonic_mean_k5,19.51682701031784,10.969962519545833,19.252536388945792,11.02367319615829
max_k3,12.074647675830386,3.973492938410082,11.600155191251279,3.284975727048878
max_k5,10.349348569891996,2.954958114832617,9.778956380328085,2.1542031624236007
median_k3,18.27874018661925,9.041446001363585,17.98733624005087,8.798982294606363
median_k5,18.292739527236325,9.13921716394401,17.870143203828302,8.94762580049295
midpoint_k3,17.24171840430077,8.557358278348314,16.72891583755498,7.929791233381751
midpoint_k5,16.364892371754824,8.300196331217947,15.66145792139923,7.501847704679069
min_k3,24.415623682250057,17.25356404242615,22.306549075009695,16.798334482706178
min_k5,21.65431266339548,20.4128937509958,20.832759705525888,19.561675332794366
