image,smooth,smooth,textured,textured
noise_setting,salt_pepper_d0.05,salt_pepper_d0.15,salt_pepper_d0.05,salt_pepper_d0.15
filter,,,,
adaptive_local_noise_reduction_k3,630.5275026737968,1138.6208930481284,811.216044921875,1302.7743098958333
adaptive_local_noise_reduction_k5,313.06555614973263,676.6540588235295,414.6129329427083,809.8335904947917
adaptive_median_Smax7,12.992566844919786,19.308048128342246,50.70976236979167,63.231513671875
alpha_trimmed_k3_d2,65.70917647058823,289.82208021390375,152.30084309895832,395.308037109375
alpha_trimmed_k3_d6,33.987577540106955,72.14824064171123,117.87736002604167,160.45101236979167
alpha_trimmed_k5_d2,117.60977005347594,300.3429946524064,233.17961263020834,435.616865234375
alpha_trimmed_k5_d6,86.78676470588235,140.96517647058823,206.62048502604168,257.205185546875
arithmetic_mean_k3,198.46773262032085,624.8183262032086,307.739619140625,802.9478678385417
arithmetic_mean_k5,169.70907486631015,433.6468983957219,293.62369466145833,610.5927994791666
contraharmonic_k3_Q-1,1780.1221711229946,4176.185176470588,901.3836881510416,1773.576484375
contraharmonic_k3_Q1,3507.596577540107,9723.283497326203,6359.9286067708335,16160.81169596354
contraharmonic_k5_Q-1,4019.8167860962567,7014.965631016043,1797.4798958333333,2840.957119140625
contraharmonic_k5_Q1,4106.8553315508025,11245.374930481283,9343.500166015625,21221.53677408854
geometric_mean_k3,1417.7645935828878,3486.8540909090907,722.75025390625,1493.5538248697917
geometric_mean_k5,1644.474946524064,4114.927631016043,891.04203125,1782.289296875
harmonic_mean_k3,1780.1221711229946,4176.185176470588,901.3836881510416,1773.576484375
harmonic_mean_k5,4019.8167860962567,7014.965631016043,1797.4798958333333,2840.957119140625
max_k3,8654.887481283422,20774.376823529412,11429.039163411459,26443.867779947916
max_k5,19639.515877005346,35223.514780748665,25711.531692708333,44738.39325846354
median_k3,33.14641176470588,65.48879144385026,120.06335286458334,155.329052734375
median_k5,66.65843315508022,74.82974331550803,210.51759440104166,218.330341796875
midpoint_k3,2258.878679144385,4999.450534759359,2765.3211360677083,6165.510237630208
midpoint_k5,4607.475689839573,7427.446449197861,5876.480498046875,9876.697194010416
min_k3,1966.485898395722,4284.685967914438,1091.3480794270833,1892.7534798177082
min_k5,4303.480727272728,7095.108957219251,2010.39369140625,2905.6554427083333
