image,smooth,smooth,textured,textured
noise_setting,uniform_-0.1_0.1,uniform_-0.3_0.3,uniform_-0.1_0.1,uniform_-0.3_0.3
filter,,,,
adaptive_local_noise_reduction_k3,62.375641711229946,506.8388449197861,84.95883463541666,514.7767350260417
adaptive_local_noise_reduction_k5,61.779636363636364,467.1626417112299,85.78876302083333,481.830888671875
adaptive_median_Smax7,133.76223529411766,924.5224973262032,156.95179361979166,853.58923828125
alpha_trimmed_k3_d2,65.81616042780749,291.2962994652406,143.916767578125,370.13887369791667
alpha_trimmed_k3_d6,76.12713368983957,383.10570588235294,148.37837239583334,410.94187825520834
alpha_trimmed_k5_d2,102.3406844919786,226.79967379679144,217.59533528645832,376.681806640625
alpha_trimmed_k5_d6,95.66201069518716,210.53443315508022,214.6115234375,340.9798274739583
arithmetic_mean_k3,65.00986631016043,279.8894385026738,147.88211263020833,395.0265169270833
arithmetic_mean_k5,107.1057540106952,241.910128342246,221.14535807291668,403.32845703125
contraharmonic_k3_Q-1,242.4182459893048,891.9861978609625,401.69591145833334,880.7408723958333
contraharmonic_k3_Q1,177.08885026737968,1449.8593155080214,382.85931966145836,2032.0369401041667
contraharmonic_k5_Q-1,524.3625080213903,1342.4205561497326,636.7716438802083,1208.579638671875
contraharmonic_k5_Q1,293.45608556149733,1580.360807486631,543.22916015625,2240.2782486979168
geometric_mean_k3,178.62522994652406,706.7314438502674,315.7380729166667,738.88484375
geometric_mean_k5,324.38004812834225,940.6946951871657,473.21002278645835,945.69498046875
harmonic_mean_k3,242.4182459893048,891.9861978609625,401.69591145833334,880.7408723958333
harmonic_mean_k5,524.3625080213903,1342.4205561497326,636.7716438802083,1208.579638671875
max_k3,798.6782834224599,4151.859834224599,1157.0553287760417,4555.3024609375
max_k5,1576.3266844919785,6039.654957219252,2338.045231119792,6765.003938802083
median_k3,87.54179679144384,466.95389304812835,160.87294270833334,480.9063899739583
median_k5,92.25480748663102,280.5973529411765,226.83421223958334,362.4638671875
midpoint_k3,98.05108556149733,458.37954545454545,224.48828125,744.062587890625
midpoint_k5,239.85938502673798,708.6158823529412,426.505546875,1130.5494108072917
min_k3,684.6468877005348,2073.39971657754,731.30525390625,1344.5603190104166
min_k5,1278.7972139037433,2892.716705882353,1137.5883040364583,1811.19654296875
