image,smooth,smooth,textured,textured
noise_setting,uniform_-0.1_0.1,uniform_-0.3_0.3,uniform_-0.1_0.1,uniform_-0.3_0.3
filter,,,,
adaptive_local_noise_reduction_k3,30.18065334257104,21.082104683743047,28.838718142265506,21.01461449826949
adaptive_local_noise_reduction_k5,30.22235013162286,21.436122552468145,28.796499550430205,21.301857230516845
adaptive_median_Smax7,26.867468432386588,18.471628771242063,26.173140777561738,18.81831429831688
alpha_trimmed_k3_d2,29.947478179696354,23.48745393343004,26.549689648296688,22.447156617605877
alpha_trimmed_k3_d6,29.31540882659002,22.297617405612446,26.41709757995359,21.992999592789722
alpha_trimmed_k5_d2,28.03032043501549,24.574379352870558,24.754307799569585,22.3710571615281
alpha_trimmed_k5_d6,28.32340855912068,24.897572255119172,24.814273234292273,22.803516741800692
arithmetic_mean_k3,30.00101087934403,23.66093849992133,26.4316471463165,22.164541113969477
arithmetic_mean_k5,27.832675579355154,24.29426308996049,24.684025330767145,22.074214959253922
contraharmonic_k3_Q-1,24.28515056288458,18.627222264908877,22.091829494502075,18.68232209824921
contraharmonic_k3_Q1,25.648891425337705,16.517544975727642,22.300411375996827,15.051487622080074
contraharmonic_k5_Q-1,20.93448728844361,16.851917670897468,20.090966453037304,17.30805087592025
contraharmonic_k5_Q1,23.455372407195505,16.143241101086574,20.780972863498004,14.62778398618861
geometric_mean_k3,25.611375599957288,19.638259465209707,23.13753406911519,19.445036026096588
geometric_mean_k5,23.0202622696332,18.396316659313538,21.380264262755965,18.373292769606373
harmonic_mean_k3,24.28515056288458,18.627222264908877,22.091829494502075,18.68232209824921
harmonic_mean_k5,20.93448728844361,16.851917670897468,20.090966453037304,17.30805087592025
max_k3,19.10708485021908,11.948376774558156,17.497262340617098,11.545631425105608
max_k5,16.154341333935893,10.32068232587185,14.442274522304018,9.828123070740302
median_k3,28.708649046246176,21.438063603517463,26.065973548086543,21.310198131307793
median_k5,28.48091353944515,23.649967911408677,24.57371803299968,22.53815641169764
midpoint_k3,28.21627954595283,21.51855131259406,24.61886686002046,19.4147089248293
midpoint_k5,24.331236450053932,19.626694788304718,21.831556771544285,17.597908128755936
min_k3,19.776137226066332,14.963973260341525,19.48981667336598,16.8450007076395
min_k5,17.062786794580852,13.517744571530033,17.570952426004848,15.551147802969174
